Indeks,Archiwum,Data,DataWejscia,DataZakonczenia,Del,Diler,FirstStanowisko,Hiden,ErrIdx,Klient,LiczbaSzklen,NipDilera,Oscieznica,Pozycja,Skanowanie,Skrzydlo,srcdoc,Stanowisko,StanowiskoPoprzednie,Sztuka,TerminRealizacji,Zakonczone,Zlecenie,ZlecenieDilera,DodOpis,optym,TerminProdukcji,Optymalizacja,DbWHOkna,KodBiura,OptSrcdoc,Vip,ObrazekOsc,ObrazekSkr,Referencja,Priorytet,IloscJedn,Idx_typu,Typ,IloscJednPoz,PozycjaLp,Country,FrameWidth,FrameHeight,SashWidth,SashHeight,Glazing,GlazingFrame,GlazingFrameColor,Color,Paczka
313187,0,,2022-01-03 07:26:00.000,,0,WDX_EXPORT,,0,0,Vilmstata UAB,1,WDX_EXPORT,1,1,,1,25138,,,1,2020-02-24 00:00:00.000,0,KDV194000:1      ,KDV194000:1,,11644,2020-02-28 00:00:00.000,OPT/194000:1,5,WDX_EXPORT,25214,0,3taf07  ,7iga5f  ,Daugiabutis,3,0,244,KOE 76 Langas,0,1,,1460,1690,909,1239,4GNP-18TGI-4-18TGI-4GNP,Remelis,TGI  PILKAS RAL 7035,,
313188,0,,2022-01-03 07:26:00.000,,0,WDX_EXPORT,,0,0,Vilmstata UAB,1,WDX_EXPORT,1,1,,1,25138,,,2,2020-02-24 00:00:00.000,0,KDV194000:1      ,KDV194000:1,,11644,2020-02-28 00:00:00.000,OPT/194000:1,5,WDX_EXPORT,25214,0,3taf07  ,7iga5f  ,Daugiabutis,3,0,244,KOE 76 Langas,0,1,,1460,1690,909,1239,4GNP-18TGI-4-18TGI-4GNP,Remelis,TGI  PILKAS RAL 7035,,
313189,0,,2022-01-03 07:26:00.000,,0,WDX_EXPORT,,0,0,Vilmstata UAB,1,WDX_EXPORT,1,1,,1,25138,,,3,2020-02-24 00:00:00.000,0,KDV194000:1      ,KDV194000:1,,11644,2020-02-28 00:00:00.000,OPT/194000:1,5,WDX_EXPORT,25214,0,3taf07  ,7iga5f  ,Daugiabutis,3,0,244,KOE 76 Langas,0,1,,1460,1690,909,1239,4GNP-18TGI-4-18TGI-4GNP,Remelis,TGI  PILKAS RAL 7035,,
313190,0,,2022-01-03 07:26:00.000,,0,WDX_EXPORT,,0,0,Vilmstata UAB,1,WDX_EXPORT,1,1,,1,25138,,,4,2020-02-24 00:00:00.000,0,KDV194000:1      ,KDV194000:1,,11644,2020-02-28 00:00:00.000,OPT/194000:1,5,WDX_EXPORT,25214,0,3taf07  ,7iga5f  ,Daugiabutis,3,0,244,KOE 76 Langas,0,1,,1460,1690,909,1239,4GNP-18TGI-4-18TGI-4GNP,Remelis,TGI  PILKAS RAL 7035,,
313191,0,,2022-01-03 07:26:00.000,,0,WDX_EXPORT,,0,0,Vilmstata UAB,1,WDX_EXPORT,1,1,,1,25138,,,5,2020-02-24 00:00:00.000,0,KDV194000:1      ,KDV194000:1,,11644,2020-02-28 00:00:00.000,OPT/194000:1,5,WDX_EXPORT,25214,0,3taf07  ,7iga5f  ,Daugiabutis,3,0,244,KOE 76 Langas,0,1,,1460,1690,909,1239,4GNP-18TGI-4-18TGI-4GNP,Remelis,TGI  PILKAS RAL 7035,,
313192,0,,2022-01-03 07:26:00.000,,0,WDX_EXPORT,,0,0,Vilmstata UAB,1,WDX_EXPORT,1,1,,1,25138,,,6,2020-02-24 00:00:00.000,0,KDV194000:1      ,KDV194000:1,,11644,2020-02-28 00:00:00.000,OPT/194000:1,5,WDX_EXPORT,25214,0,3taf07  ,7iga5f  ,Daugiabutis,3,0,244,KOE 76 Langas,0,1,,1460,1690,909,1239,4GNP-18TGI-4-18TGI-4GNP,Remelis,TGI  PILKAS RAL 7035,,
313193,0,,2022-01-03 07:26:00.000,,0,WDX_EXPORT,,0,0,Vilmstata UAB,1,WDX_EXPORT,1,1,,1,25138,,,7,2020-02-24 00:00:00.000,0,KDV194000:1      ,KDV194000:1,,11644,2020-02-28 00:00:00.000,OPT/194000:1,5,WDX_EXPORT,25214,0,3taf07  ,7iga5f  ,Daugiabutis,3,0,244,KOE 76 Langas,0,1,,1460,1690,909,1239,4GNP-18TGI-4-18TGI-4GNP,Remelis,TGI  PILKAS RAL 7035,,
313194,0,,2022-01-03 07:26:00.000,,0,WDX_EXPORT,,0,0,Vilmstata UAB,1,WDX_EXPORT,1,1,,1,25138,,,8,2020-02-24 00:00:00.000,0,KDV194000:1      ,KDV194000:1,,11644,2020-02-28 00:00:00.000,OPT/194000:1,5,WDX_EXPORT,25214,0,3taf07  ,7iga5f  ,Daugiabutis,3,0,244,KOE 76 Langas,0,1,,1460,1690,909,1239,4GNP-18TGI-4-18TGI-4GNP,Remelis,TGI  PILKAS RAL 7035,,
313195,0,,2022-01-03 07:26:00.000,,0,WDX_EXPORT,,0,0,Vilmstata UAB,1,WDX_EXPORT,1,1,,1,25138,,,9,2020-02-24 00:00:00.000,0,KDV194000:1      ,KDV194000:1,,11644,2020-02-28 00:00:00.000,OPT/194000:1,5,WDX_EXPORT,25214,0,3taf07  ,7iga5f  ,Daugiabutis,3,0,244,KOE 76 Langas,0,1,,1460,1690,909,1239,4GNP-18TGI-4-18TGI-4GNP,Remelis,TGI  PILKAS RAL 7035,,
313196,0,,2022-01-03 07:26:00.000,,0,WDX_EXPORT,,0,0,Vilmstata UAB,1,WDX_EXPORT,1,1,,1,25138,,,10,2020-02-24 00:00:00.000,0,KDV194000:1      ,KDV194000:1,,11644,2020-02-28 00:00:00.000,OPT/194000:1,5,WDX_EXPORT,25214,0,3taf07  ,7iga5f  ,Daugiabutis,3,0,244,KOE 76 Langas,0,1,,1460,1690,909,1239,4GNP-18TGI-4-18TGI-4GNP,Remelis,TGI  PILKAS RAL 7035,,
