"Indeks","IndeksSkanu","IndeksZlecenia","IndeksDodatka","Duplicated"
783893,795182,313279,,0
783894,795183,313364,,0
783895,795184,313365,,0
783896,795185,313367,,0
783897,795186,313368,,0
783898,795187,313385,,0
783899,795189,313369,,0
783900,795190,313370,,0
783901,795191,313371,,0
783902,795192,313372,,0
783903,795193,313383,,0
783904,795194,313337,,0
783906,795196,313338,,0
783908,795198,313339,,0
783910,795200,313384,,0
783912,795202,313337,,1
783914,795204,313338,,1
783915,795207,313385,,1
783917,795209,313339,,1
783920,795213,313340,,0
783921,795214,313341,,0
783922,795216,313379,,0
783923,795218,313346,,0
783924,795220,313346,,1
783925,795222,313337,,1
783926,795224,313379,,1
783929,795228,313338,,1
783932,795231,313339,,1
783934,795233,313340,,1
783936,795235,313341,,1
783940,795241,313342,,0
783942,795244,313378,,0
783944,795248,313378,,1
783945,795250,313343,,0
783946,795251,313385,,1
783947,795253,313346,,1
783948,795254,313384,,1
783949,795255,313347,,0
783950,795257,313348,,0
783953,795261,313337,,1
783955,795263,313338,,1
783962,795274,313339,,1
783969,795289,313385,,1
783971,795292,313347,,1
783972,795293,313378,,1
783973,795295,313348,,1
783976,795298,313385,,1
783978,795301,313379,,1
783979,795303,313378,,1
783981,795306,313379,,1
783984,795310,313384,,1
783987,795316,313349,,0
783990,795319,313350,,0
783992,795321,313340,,1
783994,795323,313341,,1
783999,795335,313344,,0
784001,795337,313351,,0
784003,795339,313383,,1
784004,795340,313352,,0
784005,795342,313347,,1
784008,795345,313348,,1
784009,795346,313383,,1
784010,795348,313340,,1
784011,795349,313341,,1
784012,795350,313342,,1
784014,795352,313349,,1
784015,795353,313350,,1
784016,795354,313353,,0
784020,795358,313354,,0
784022,795360,313343,,1
784023,795361,313345,,0
784027,795368,313342,,1
784028,795369,313381,,0
784031,795375,313351,,1
784033,795379,313352,,1
784035,795383,313353,,1
784039,795387,313382,,0
784043,795395,313354,,1
784050,795410,313342,,1
784051,795411,313344,,1
784052,795412,313345,,1
784053,795413,313349,,1
784055,795415,313350,,1
784057,795417,313346,,1
784059,795419,313347,,1
784060,795420,313351,,1
784061,795421,313343,,1
784062,795423,313344,,1
784063,795424,313376,,0
784064,795426,313376,,1
784065,795428,313345,,1
784066,795429,313376,,1
784067,795431,313348,,1
784068,795432,313349,,1
784069,795433,313350,,1
784070,795434,313351,,1
784072,795436,313352,,1
784073,795437,313343,,1
784074,795438,313344,,1
784076,795440,313345,,1
784077,795441,313352,,1
784078,795442,313353,,1
784079,795443,313353,,1
784081,795446,313380,,0
784082,795448,313380,,1
784083,795449,313354,,1
784084,795450,313380,,1
784085,795451,313354,,1
784086,795452,313380,,1
784087,795453,313377,,0
784088,795456,313377,,1
784089,795458,313377,,1
784090,795459,313377,,1
784092,795462,313355,,0
784093,795463,313356,,0
784094,795464,313364,,1
784095,795465,313375,,0
784096,795467,313364,,1
784097,795468,313364,,1
